artifact_type,artifact_id,artifact_path,concept_represents,feeds_canonical_state,canonical_math_use,material_decision_impact,redundant_with_stronger_concept,if_removed_what_gets_worse,classification,owner_action,phase_target,notes
input_control,decision_option_selector,js/app/v3/surfaces/decisionLog.js,Decision option selector (selector) writes state.ui.decision.sessions[].activeOptionId,yes,yes,yes,none,breaks war room option pane and recommendation status and decision summary export json,KEEP,retain canonical path,phase23,Canonical war room option owner
input_control,decision_recommend_selector,js/app/v3/surfaces/decisionLog.js,Decision recommend selector (selector) writes state.ui.decision.sessions[].recommendedOptionId,yes,yes,yes,none,breaks war room recommendation summary and status tags and decision summary export json,KEEP,retain canonical path,phase23,Recommendation path canonical
input_control,war_room_watch_items_input,js/app/v3/surfaces/decisionLog.js,War room watch items (numeric_input) writes state.ui.decision.sessions[].warRoom.watchItems,yes,yes,yes,none,breaks war room recommendation card and decision log payload and decision summary export json and future reports,KEEP,retain canonical path,phase23,Watch-vs-decision separation is canonical
input_control,war_room_decision_items_input,js/app/v3/surfaces/decisionLog.js,War room decision items (numeric_input) writes state.ui.decision.sessions[].warRoom.decisionItems,yes,yes,yes,none,breaks war room recommendation card and decision log payload and decision summary export json and future reports,KEEP,retain canonical path,phase23,Decision item list is canonical
input_control,war_room_owner_input,js/app/v3/surfaces/decisionLog.js,War room owner input (text_input) writes state.ui.decision.sessions[].warRoom.owner,yes,yes,yes,none,breaks war room recommendation card and decision log rows and decision summary export json and future reports,KEEP,retain canonical path,phase23,Owner accountability is canonical
input_control,war_room_follow_up_date,js/app/v3/surfaces/decisionLog.js,War room follow-up date (date_input) writes state.ui.decision.sessions[].warRoom.followUpDate,yes,yes,yes,none,breaks war room recommendation card and decision log rows and decision summary export json and future reports,KEEP,retain canonical path,phase23,Follow-up traceability is canonical
input_control,war_room_capture_review_button,js/app/v3/surfaces/decisionLog.js,War room capture review baseline (button) writes state.ui.decision.sessions[].warRoom.lastReview,yes,yes,yes,none,breaks war room change classification and top drivers and decision summary export json and future reports,KEEP,retain canonical path,phase23,Baseline capture anchors signal-vs-noise comparison
input_control,war_room_log_decision_button,js/app/v3/surfaces/decisionLog.js,War room log decision (button) writes state.ui.decision.sessions[].warRoom.decisionLog,yes,yes,yes,none,breaks war room decision log table and follow-through status and decision summary export json and future reports,KEEP,retain canonical path,phase23,Decision logging is canonical follow-through path
input_control,district_geo_level_selector,js/app/v3/surfaces/district.js,Targeting geography level selector (dropdown) writes state.targeting.geoLevel,yes,yes,yes,none,breaks targeting status cards|results table and targeting csv|targeting json,KEEP,retain canonical path,phase23,Canonical targeting geometry input
input_control,district_density_floor_selector,js/app/v3/surfaces/district.js,Targeting density floor selector (dropdown) writes state.targeting.criteria.densityFloor,yes,yes,yes,none,breaks targeting status cards|results table and targeting csv|targeting json,KEEP,retain canonical path,phase23,Canonical targeting density control
input_control,district_electorate_weighting_toggle,js/app/v3/surfaces/district.js,Electorate weighting toggle (toggle) writes state.universeLayerEnabled,yes,yes,yes,none,breaks district composition derived text|warnings|summary cards and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Corrected canonical state path
input_control,census_metric_set_selector,js/app/v3/surfaces/district.js,Census metric set selector (dropdown) writes state.census.metricSet,yes,yes,yes,none,breaks census advisory table|status chips and census diagnostics and report inputs,KEEP,retain canonical path,phase23,Legacy dependency removed for integrity harness classification
input_control,census_apply_adjustments_toggle,js/app/v3/surfaces/district.js,Census apply adjustments toggle (toggle) writes state.census.applyAdjustedAssumptions,yes,yes,yes,none,breaks apply-adjustments status|advisory windows and census diagnostics and report inputs,KEEP,retain canonical path,phase23,Persistence and render wiring verified
input_control,intel_brief_kind_selector,js/app/v3/surfaces/controls.js,Intel brief kind selector (dropdown) writes state.intelState.uiSelections.briefKind,yes,yes,yes,none,breaks controls brief preview and workflow status and diagnostic export bundle,KEEP,retain canonical path,phase23,Control drives generated brief
input_control,nav_stage_tab,js/app/v3/index.js,Navigation stage tab (tab_navigation) writes localStorage:fpe-ui-v3-stage::{campaignId::officeId} + query.stage,yes,no_or_indirect,yes,none,breaks page title and mounted stage pane,KEEP,retain canonical path,phase23,Navigation changes view not model state
input_control,district_mode_selector,js/app/v3/surfaces/district.js,District mode selector (dropdown) writes state.mode,yes,yes,yes,none,breaks district brief band|setup summary cards and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Canonical mode options detached from legacy DOM
input_control,district_office_level_selector,js/app/v3/surfaces/district.js,Office level selector (dropdown) writes state.templateMeta.officeLevel,yes,yes,yes,none,breaks template profile|district setup summaries and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Template dimension selector
input_control,district_election_type_selector,js/app/v3/surfaces/district.js,Election type selector (dropdown) writes state.templateMeta.electionType,yes,yes,yes,none,breaks template profile|district setup summaries and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Template dimension selector
input_control,district_seat_context_selector,js/app/v3/surfaces/district.js,Seat context selector (dropdown) writes state.templateMeta.seatContext,yes,yes,yes,none,breaks template profile|district setup summaries and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Template dimension selector
input_control,district_partisanship_mode_selector,js/app/v3/surfaces/district.js,Partisanship mode selector (dropdown) writes state.templateMeta.partisanshipMode,yes,yes,yes,none,breaks template profile|district setup summaries and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Template dimension selector
input_control,district_salience_level_selector,js/app/v3/surfaces/district.js,Salience level selector (dropdown) writes state.templateMeta.salienceLevel,yes,yes,yes,none,breaks template profile|district setup summaries and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Template dimension selector
input_control,district_election_date_input,js/app/v3/surfaces/district.js,Election date input (date_input) writes state.electionDate,yes,yes,yes,none,breaks district brief timeline|setup summaries and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Sticky via campaign-office-scenario scoped state persistence
input_control,district_weeks_remaining_input,js/app/v3/surfaces/district.js,Weeks remaining input (numeric_input) writes state.weeksRemaining,yes,yes,yes,none,breaks district brief timeline|setup summaries and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Sticky via campaign-office-scenario scoped state persistence
input_control,district_universe_size_input,js/app/v3/surfaces/district.js,Universe size input (numeric_input) writes state.universeSize,yes,yes,yes,none,breaks district summary cards|downstream KPI cards and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Canonical universe denominator input
input_control,district_universe_basis_selector,js/app/v3/surfaces/district.js,Universe basis selector (dropdown) writes state.universeBasis,yes,yes,yes,none,breaks district brief basis tag|summary cards and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Canonical basis option source detached from legacy DOM
input_control,district_source_note_input,js/app/v3/surfaces/district.js,Source note input (text_input) writes state.sourceNote,yes,yes,yes,none,breaks district provenance summaries and scenario exports|audit traces,KEEP,retain canonical path,phase23,State and export provenance source
input_control,district_dem_pct_input,js/app/v3/surfaces/district.js,Electorate Dem percent input (numeric_input) writes state.universeDemPct,yes,yes,yes,none,breaks district composition derived text|warnings and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Weighted universe coefficient
input_control,district_rep_pct_input,js/app/v3/surfaces/district.js,Electorate Rep percent input (numeric_input) writes state.universeRepPct,yes,yes,yes,none,breaks district composition derived text|warnings and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Weighted universe coefficient
input_control,district_npa_pct_input,js/app/v3/surfaces/district.js,Electorate NPA percent input (numeric_input) writes state.universeNpaPct,yes,yes,yes,none,breaks district composition derived text|warnings and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Weighted universe coefficient
input_control,district_other_pct_input,js/app/v3/surfaces/district.js,Electorate Other percent input (numeric_input) writes state.universeOtherPct,yes,yes,yes,none,breaks district composition derived text|warnings and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Weighted universe coefficient
input_control,district_retention_factor_input,js/app/v3/surfaces/district.js,Retention factor input (numeric_input) writes state.retentionFactor,yes,yes,yes,none,breaks district composition derived text|warnings and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Weighted universe retention control
input_control,district_turnout_a_input,js/app/v3/surfaces/district.js,Turnout cycle A input (numeric_input) writes state.turnoutA,yes,yes,yes,none,breaks district turnout summary|outcome assumptions and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Turnout baseline input
input_control,district_turnout_b_input,js/app/v3/surfaces/district.js,Turnout cycle B input (numeric_input) writes state.turnoutB,yes,yes,yes,none,breaks district turnout summary|outcome assumptions and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Turnout baseline input
input_control,district_band_width_input,js/app/v3/surfaces/district.js,Turnout band width input (numeric_input) writes state.bandWidth,yes,yes,yes,none,breaks district turnout summary|assumptions profile and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Assumption profile-sensitive control
input_control,district_your_candidate_selector,js/app/v3/surfaces/district.js,Your candidate selector (dropdown) writes state.yourCandidateId,yes,yes,yes,none,breaks ballot baseline tables|summary cards and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Dynamic candidate option list from canonical ballot state
input_control,district_undecided_pct_input,js/app/v3/surfaces/district.js,Undecided percent input (numeric_input) writes state.undecidedPct,yes,yes,yes,none,breaks ballot totals|warning panel|summary cards and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Ballot denominator control
input_control,district_undecided_mode_selector,js/app/v3/surfaces/district.js,Undecided mode selector (dropdown) writes state.undecidedMode,yes,yes,yes,none,breaks user split panel visibility|ballot warnings|summary cards and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Canonical undecided option source detached from legacy DOM
input_control,district_candidate_name_input,js/app/v3/surfaces/district.js,Candidate name input rows (text_input_group) writes state.candidates[].name,yes,yes,yes,none,breaks candidate table|your candidate selector|user split labels and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Dynamic control group keyed by candidate id
input_control,district_candidate_support_input,js/app/v3/surfaces/district.js,Candidate support percent input rows (numeric_input_group) writes state.candidates[].supportPct,yes,yes,yes,none,breaks candidate table totals|warnings|summary cards and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Dynamic control group keyed by candidate id
input_control,district_user_split_input,js/app/v3/surfaces/district.js,User split input rows (numeric_input_group) writes state.userSplit[candidateId],yes,yes,yes,none,breaks user split panel|ballot warnings|summary cards and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Visible when undecided mode is user_defined
input_control,district_targeting_top_n_input,js/app/v3/surfaces/district.js,Targeting top N input (numeric_input) writes state.targeting.topN,yes,yes,yes,none,breaks targeting status cards|results table and targeting csv|targeting json,KEEP,retain canonical path,phase23,Targeting config control
input_control,district_targeting_min_housing_input,js/app/v3/surfaces/district.js,Targeting minimum housing units input (numeric_input) writes state.targeting.minHousingUnits,yes,yes,yes,none,breaks targeting status cards|results table and targeting csv|targeting json,KEEP,retain canonical path,phase23,Targeting config control
input_control,district_targeting_min_population_input,js/app/v3/surfaces/district.js,Targeting minimum population input (numeric_input) writes state.targeting.minPopulation,yes,yes,yes,none,breaks targeting status cards|results table and targeting csv|targeting json,KEEP,retain canonical path,phase23,Targeting config control
input_control,district_targeting_min_score_input,js/app/v3/surfaces/district.js,Targeting minimum score input (numeric_input) writes state.targeting.minScore,yes,yes,yes,none,breaks targeting status cards|results table and targeting csv|targeting json,KEEP,retain canonical path,phase23,Targeting config control
input_control,district_targeting_only_race_footprint_toggle,js/app/v3/surfaces/district.js,Only race footprint toggle (toggle) writes state.targeting.onlyRaceFootprint,yes,yes,yes,none,breaks targeting status cards|results table and targeting csv|targeting json,KEEP,retain canonical path,phase23,Targeting criteria flag
input_control,district_targeting_prioritize_young_toggle,js/app/v3/surfaces/district.js,Prioritize young toggle (toggle) writes state.targeting.criteria.prioritizeYoung,yes,yes,yes,none,breaks targeting status cards|results table and targeting csv|targeting json,KEEP,retain canonical path,phase23,Targeting criteria flag
input_control,district_targeting_prioritize_renters_toggle,js/app/v3/surfaces/district.js,Prioritize renters toggle (toggle) writes state.targeting.criteria.prioritizeRenters,yes,yes,yes,none,breaks targeting status cards|results table and targeting csv|targeting json,KEEP,retain canonical path,phase23,Targeting criteria flag
input_control,district_targeting_avoid_high_multi_unit_toggle,js/app/v3/surfaces/district.js,Avoid high multi-unit toggle (toggle) writes state.targeting.criteria.avoidHighMultiUnit,yes,yes,yes,none,breaks targeting status cards|results table and targeting csv|targeting json,KEEP,retain canonical path,phase23,Targeting criteria flag
input_control,district_targeting_weight_vote_potential_input,js/app/v3/surfaces/district.js,Weight vote potential input (numeric_input) writes state.targeting.weights.votePotential,yes,yes,yes,none,breaks targeting status cards|results table and targeting csv|targeting json,KEEP,retain canonical path,phase23,House model weight control
input_control,district_targeting_weight_turnout_opportunity_input,js/app/v3/surfaces/district.js,Weight turnout opportunity input (numeric_input) writes state.targeting.weights.turnoutOpportunity,yes,yes,yes,none,breaks targeting status cards|results table and targeting csv|targeting json,KEEP,retain canonical path,phase23,House model weight control
input_control,district_targeting_weight_persuasion_index_input,js/app/v3/surfaces/district.js,Weight persuasion index input (numeric_input) writes state.targeting.weights.persuasionIndex,yes,yes,yes,none,breaks targeting status cards|results table and targeting csv|targeting json,KEEP,retain canonical path,phase23,House model weight control
input_control,district_targeting_weight_field_efficiency_input,js/app/v3/surfaces/district.js,Weight field efficiency input (numeric_input) writes state.targeting.weights.fieldEfficiency,yes,yes,yes,none,breaks targeting status cards|results table and targeting csv|targeting json,KEEP,retain canonical path,phase23,House model weight control
input_control,census_api_key_input,js/app/v3/surfaces/district.js,Census API key input (text_input) writes state.census.bridgeApiKey,yes,yes,yes,none,breaks census status chip|lookup selectors and census diagnostics and report inputs,KEEP,retain canonical path,phase23,Persistence corrected to canonical commit path
input_control,census_acs_year_selector,js/app/v3/surfaces/district.js,Census ACS year selector (dropdown) writes state.census.year,yes,yes,yes,none,breaks census status chip|rows summary|advisory tables and census diagnostics and report inputs,KEEP,retain canonical path,phase23,Sticky across reload after persistence fix
input_control,census_resolution_selector,js/app/v3/surfaces/district.js,Census resolution selector (dropdown) writes state.census.resolution,yes,yes,yes,none,breaks census lookup controls|rows summary|map status and census diagnostics and report inputs,KEEP,retain canonical path,phase23,Sticky across reload after persistence fix
input_control,census_state_fips_selector,js/app/v3/surfaces/district.js,Census state selector (dropdown) writes state.census.stateFips,yes,yes,yes,none,breaks county and place selectors|status chips and census diagnostics and report inputs,KEEP,retain canonical path,phase23,Dynamic canonical option source
input_control,census_county_fips_selector,js/app/v3/surfaces/district.js,Census county selector (dropdown) writes state.census.countyFips,yes,yes,yes,none,breaks geo availability and status chips and census diagnostics and report inputs,KEEP,retain canonical path,phase23,Dynamic canonical option source
input_control,census_place_fips_selector,js/app/v3/surfaces/district.js,Census place selector (dropdown) writes state.census.placeFips,yes,yes,yes,none,breaks geo selection list and status chips and census diagnostics and report inputs,KEEP,retain canonical path,phase23,Dynamic canonical option source
input_control,census_geo_search_input,js/app/v3/surfaces/district.js,Census GEO search input (text_input) writes state.census.geoSearch,yes,yes,yes,none,breaks geo selector filtering and status text,KEEP,retain canonical path,phase23,Sticky across reload after persistence fix
input_control,census_tract_filter_selector,js/app/v3/surfaces/district.js,Census tract filter selector (dropdown) writes state.census.tractFilter,yes,yes,yes,none,breaks geo selector filtering and status text and census diagnostics and report inputs,KEEP,retain canonical path,phase23,Dynamic canonical option source
input_control,census_geo_paste_input,js/app/v3/surfaces/district.js,Census GEO paste input (textarea_input) writes state.census.bridgeGeoPaste,yes,yes,yes,none,breaks geo paste status and selection controls,KEEP,retain canonical path,phase23,Sticky across reload after persistence fix
input_control,census_selection_set_name_input,js/app/v3/surfaces/district.js,Selection set draft name input (text_input) writes state.census.selectionSetDraftName,yes,yes,yes,none,breaks selection set controls|status chips,KEEP,retain canonical path,phase23,Sticky across reload after persistence fix
input_control,census_selection_set_selector,js/app/v3/surfaces/district.js,Selection set selector (dropdown) writes state.census.selectedSelectionSetKey,yes,yes,yes,none,breaks selection set controls|status chips,KEEP,retain canonical path,phase23,Dynamic canonical option source
input_control,census_election_precinct_filter_input,js/app/v3/surfaces/district.js,Election CSV precinct filter input (text_input) writes state.census.bridgeElectionCsvPrecinctFilter,yes,yes,yes,none,breaks dry-run preview meta and status,KEEP,retain canonical path,phase23,Sticky across reload after persistence fix
input_control,census_map_qa_vtd_toggle,js/app/v3/surfaces/district.js,Map QA VTD overlay toggle (toggle) writes state.census.mapQaVtdOverlay,yes,yes,yes,none,breaks map status strip and overlay mode state,KEEP,retain canonical path,phase23,Map QA toggle persistence corrected
input_control,census_geo_select_multiselect,js/app/v3/surfaces/district.js,GEO multi-select selector (selector) writes state.census.selectedGeoids[],yes,yes,yes,none,breaks selection summary|geo stats|advisory rows and census diagnostics and report inputs,KEEP,retain canonical path,phase23,Selection stickiness fixed by persistent commit path
input_control,census_election_csv_file_input,js/app/v3/surfaces/district.js,Election CSV file input (file_input) writes runtime.censusRuntimeFileCache.electionCsvFile,yes,yes,yes,none,breaks dry-run status and preview metadata,KEEP,retain canonical path,phase23,File object intentionally session-scoped; not reload-sticky by design
input_control,census_map_vtd_zip_file_input,js/app/v3/surfaces/district.js,Map QA VTD ZIP file input (file_input) writes runtime.censusRuntimeFileCache.mapQaVtdZip,yes,yes,yes,none,breaks map qa status strip and overlay state,KEEP,retain canonical path,phase23,File object intentionally session-scoped; not reload-sticky by design
input_control,district_candidate_history_add_button,js/app/v3/surfaces/district.js,Candidate history add-row button (button) writes state.candidateHistory[],yes,yes,yes,none,breaks district candidate history table|summary card|validation rows and forecast archive assumptions.ballotBaseline|scenario exports|war room diagnostics,KEEP,retain canonical path,phase23,Adds canonical candidate-history record rows
input_control,district_candidate_history_office_input,js/app/v3/surfaces/district.js,Candidate history office input (text_input) writes state.candidateHistory[].office,yes,yes,yes,none,breaks district candidate history table|summary card|validation rows and forecast archive assumptions.ballotBaseline|scenario exports|war room diagnostics,KEEP,retain canonical path,phase23,Office context field for candidate-history record
input_control,district_candidate_history_cycle_year_input,js/app/v3/surfaces/district.js,Candidate history cycle year input (number_input) writes state.candidateHistory[].cycleYear,yes,yes,yes,none,breaks district candidate history table|summary card|validation rows and forecast archive assumptions.ballotBaseline|scenario exports|war room diagnostics,KEEP,retain canonical path,phase23,Cycle year drives recency weighting for baseline
input_control,district_candidate_history_election_type_selector,js/app/v3/surfaces/district.js,Candidate history election type selector (dropdown) writes state.candidateHistory[].electionType,yes,yes,yes,none,breaks district candidate history table|summary card|validation rows and forecast archive assumptions.ballotBaseline|scenario exports|war room diagnostics,KEEP,retain canonical path,phase23,Canonical election type options from candidateHistoryBaseline registry
